region,split,date_1,date_2,width,height,total_pixels,changed_pixels,unchanged_pixels,change_fraction,unchanged_fraction,unchanged_to_change_ratio,date_1_band_count,date_2_band_count,image_region_path,label_path
abudhabi,train,date_1: 20160120,date_2: 20180328,785,799,627215,23592,603623,0.03761389635133088,0.9623861036486692,25.585918955578162,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\abudhabi,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Train Labels\abudhabi\cm\cm.png
aguasclaras,train,date_1: 20150916,date_2: 20171015,525,471,247275,4614,242661,0.018659387321807705,0.9813406126781923,52.59232769830949,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\aguasclaras,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Train Labels\aguasclaras\cm\cm.png
beihai,train,date_1: 20161209,date_2: 20180309,772,902,696344,17318,679026,0.024869891892512895,0.9751301081074871,39.20926203949648,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\beihai,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Train Labels\beihai\cm\cm.png
beirut,train,date_1: 20150820,date_2: 20171003,1070,1180,1262600,33918,1228682,0.026863614763187074,0.9731363852368129,36.225072233032606,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\beirut,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Train Labels\beirut\cm\cm.png
bercy,train,date_1: 20161130,date_2: 20170829,360,395,142200,1046,141154,0.007355836849507736,0.9926441631504923,134.94646271510516,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\bercy,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Train Labels\bercy\cm\cm.png
bordeaux,train,date_1: 20160504,date_2: 20171026,461,517,238337,2380,235957,0.009985860357393104,0.9900141396426069,99.14159663865546,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\bordeaux,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Train Labels\bordeaux\cm\cm.png
cupertino,train,date_1: 20150918,date_2: 20180326,788,1015,799820,18942,780878,0.0236828286364432,0.9763171713635568,41.22468588322247,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\cupertino,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Train Labels\cupertino\cm\cm.png
hongkong,train,date_1: 20160927,date_2: 20180323,540,695,375300,13379,361921,0.03564881428190781,0.9643511857180922,27.051423873234175,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\hongkong,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Train Labels\hongkong\cm\cm.png
mumbai,train,date_1: 20151130,date_2: 20180319,557,858,477906,12244,465662,0.025620101024050754,0.9743798989759492,38.03185233583796,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\mumbai,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Train Labels\mumbai\cm\cm.png
nantes,train,date_1: 20150821,date_2: 20171014,582,522,303804,3449,300355,0.011352714249976959,0.988647285750023,87.08466222093361,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\nantes,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Train Labels\nantes\cm\cm.png
paris,train,date_1: 20161130,date_2: 20171107,390,408,159120,458,158662,0.0028783308195072903,0.9971216691804927,346.4235807860262,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\paris,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Train Labels\paris\cm\cm.png
pisa,train,date_1: 20150704,date_2: 20180211,718,776,557168,9130,548038,0.016386439996554,0.983613560003446,60.02606790799562,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\pisa,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Train Labels\pisa\cm\cm.png
rennes,train,date_1: 20150821,date_2: 20170621,563,339,190857,4932,185925,0.025841336707587356,0.9741586632924126,37.697688564476884,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\rennes,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Train Labels\rennes\cm\cm.png
saclay_e,train,date_1: 20160315,date_2: 20170829,688,639,439632,4346,435286,0.009885540633984786,0.9901144593660152,100.15784629544409,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\saclay_e,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Train Labels\saclay_e\cm\cm.png
brasilia,test,date_1: 20150916,date_2: 20171017,469,433,203077,5242,197835,0.02581286901027689,0.9741871309897231,37.74036627241511,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\brasilia,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Test Labels\brasilia\cm\cm.png
chongqing,test,date_1: 20170414,date_2: 20180402,544,730,397120,28637,368483,0.0721117042707494,0.9278882957292506,12.867374375807522,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\chongqing,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Test Labels\chongqing\cm\cm.png
dubai,test,date_1: 20151211,date_2: 20180330,634,774,490716,48689,442027,0.09922032295665925,0.9007796770433407,9.078580377497998,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\dubai,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Test Labels\dubai\cm\cm.png
lasvegas,test,date_1: 20150820,date_2: 20180205,716,824,589984,45270,544714,0.07673089439713619,0.9232691056028638,12.03256019438922,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\lasvegas,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Test Labels\lasvegas\cm\cm.png
milano,test,date_1: 20161228,date_2: 20180122,558,545,304110,2419,301691,0.007954358620236099,0.9920456413797639,124.71723852831748,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\milano,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Test Labels\milano\cm\cm.png
montpellier,test,date_1: 20150812,date_2: 20171030,451,426,192126,13054,179072,0.06794499443073816,0.9320550055692618,13.717787651294623,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\montpellier,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Test Labels\montpellier\cm\cm.png
norcia,test,date_1: 20150711,date_2: 20171018,385,241,92785,1227,91558,0.013224120278062187,0.9867758797219378,74.61939690301548,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\norcia,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Test Labels\norcia\cm\cm.png
rio,test,date_1: 20160424,date_2: 20171011,426,353,150378,8552,141826,0.05687002088071393,0.9431299791192861,16.58395696913003,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\rio,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Test Labels\rio\cm\cm.png
saclay_w,test,date_1: 20160315,date_2: 20170829,688,639,439632,5018,434614,0.011414091785857262,0.9885859082141427,86.61100039856517,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\saclay_w,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Test Labels\saclay_w\cm\cm.png
valencia,test,date_1: 20160730,date_2: 20171107,476,458,218008,969,217039,0.004444791016843418,0.9955552089831566,223.98245614035088,13,13,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Images\valencia,data\benchmark\oscd\raw\Onera Satellite Change Detection dataset - Test Labels\valencia\cm\cm.png
